customerName,orderNumber
"Auto-Moto Classics Inc.",10290
"Auto-Moto Classics Inc.",10352
"UK Collectables, Ltd.",10253
"UK Collectables, Ltd.",10302
"UK Collectables, Ltd.",10403
"Canadian Gift Exchange Network",10206
"Canadian Gift Exchange Network",10313
"Online Mini Collectables",10276
"Online Mini Collectables",10294
Toys4GrownUps.com,10145
Toys4GrownUps.com,10189
Toys4GrownUps.com,10367
"Asian Shopping Network, Co",NULL
"Mini Caravy",10241
"Mini Caravy",10255
"Mini Caravy",10405
"King Kong Collectables, Co.",10187
"King Kong Collectables, Co.",10200
"Enaco Distributors",10118
"Enaco Distributors",10197
"Enaco Distributors",10340
"Boards & Toys Co.",10154
"Boards & Toys Co.",10376
"Natürlich Autos",NULL
"Heintze Collectables",10161
"Heintze Collectables",10314
"Québec Home Shopping Network",10171
"Québec Home Shopping Network",10261
"Québec Home Shopping Network",10411
"ANG Resellers",NULL
"Collectable Mini Designs Co.",10222
"Collectable Mini Designs Co.",10226
giftsbymail.co.uk,10232
giftsbymail.co.uk,10316
"Alpha Cognac",10136
"Alpha Cognac",10178
"Alpha Cognac",10397
"Messner Shopping Network",NULL
"Amica Models & Co.",10280
"Amica Models & Co.",10293
"Lyon Souveniers",10134
"Lyon Souveniers",10356
"Lyon Souveniers",10395
"Auto Associés & Cie.",10216
"Auto Associés & Cie.",10304
"Toms Spezialitäten, Ltd",10191
"Toms Spezialitäten, Ltd",10310
"Royal Canadian Collectables, Ltd.",10235
"Royal Canadian Collectables, Ltd.",10283
"Franken Gifts, Co",NULL
"Anna's Decorations, Ltd",10148
"Anna's Decorations, Ltd",10169
"Anna's Decorations, Ltd",10370
"Anna's Decorations, Ltd",10391
"Rovelli Gifts",10106
"Rovelli Gifts",10173
"Rovelli Gifts",10328
"Souveniers And Things Co.",10139
"Souveniers And Things Co.",10270
"Souveniers And Things Co.",10361
"Souveniers And Things Co.",10420
"Marta's Replicas Co.",10285
"Marta's Replicas Co.",10305
"BG&E Collectables",NULL
"Vida Sport, Ltd",10225
"Vida Sport, Ltd",10287
"Norway Gifts By Mail, Co.",10284
"Norway Gifts By Mail, Co.",10301
"Schuyler Imports",NULL
"Der Hund Imports",NULL
"Oulu Toy Supplies, Inc.",10151
"Oulu Toy Supplies, Inc.",10239
"Oulu Toy Supplies, Inc.",10373
"Petit Auto",10221
"Petit Auto",10273
"Petit Auto",10423
"Mini Classics",10195
"Mini Classics",10308
"Mini Creations Ltd.",10143
"Mini Creations Ltd.",10185
"Mini Creations Ltd.",10365
"Corporate Gift Ideas Co.",10159
"Corporate Gift Ideas Co.",10162
"Corporate Gift Ideas Co.",10381
"Corporate Gift Ideas Co.",10384
"Down Under Souveniers, Inc",10132
"Down Under Souveniers, Inc",10254
"Down Under Souveniers, Inc",10354
"Down Under Souveniers, Inc",10393
"Down Under Souveniers, Inc",10404
"Stylish Desk Decors, Co.",10129
"Stylish Desk Decors, Co.",10175
"Stylish Desk Decors, Co.",10351
"Tekni Collectables Inc.",10233
"Tekni Collectables Inc.",10251
"Tekni Collectables Inc.",10401
"Australian Gift Network, Co",10152
"Australian Gift Network, Co",10174
"Australian Gift Network, Co",10374
"Suominen Souveniers",10141
"Suominen Souveniers",10247
"Suominen Souveniers",10363
"Cramer Spezialitäten, Ltd",NULL
"Classic Gift Ideas, Inc",10183
"Classic Gift Ideas, Inc",10307
"CAF Imports",10177
"CAF Imports",10231
"Men 'R' US Retailers, Ltd.",10160
"Men 'R' US Retailers, Ltd.",10209
"Asian Treasures, Inc.",NULL
"Marseille Mini Autos",10122
"Marseille Mini Autos",10344
"Marseille Mini Autos",10364
"Reims Collectables",10121
"Reims Collectables",10137
"Reims Collectables",10343
"Reims Collectables",10359
"Reims Collectables",10398
"SAR Distributors, Co",NULL
GiftsForHim.com,10202
GiftsForHim.com,10260
GiftsForHim.com,10410
"Kommission Auto",NULL
Gifts4AllAges.com,10264
Gifts4AllAges.com,10295
Gifts4AllAges.com,10414
"Online Diecast Creations Co.",10100
"Online Diecast Creations Co.",10192
"Online Diecast Creations Co.",10322
"Lisboa Souveniers, Inc",NULL
"Precious Collectables",NULL
"Collectables For Less Inc.",10147
"Collectables For Less Inc.",10274
"Collectables For Less Inc.",10369
"Royale Belge",10116
"Royale Belge",10144
"Royale Belge",10338
"Royale Belge",10366
"Salzburg Collectables",10119
"Salzburg Collectables",10269
"Salzburg Collectables",10341
"Salzburg Collectables",10419
"Cruz & Sons Co.",10108
"Cruz & Sons Co.",10198
"Cruz & Sons Co.",10330
"L'ordine Souveniers",10176
"L'ordine Souveniers",10266
"L'ordine Souveniers",10416
"Tokyo Collectables, Ltd",10258
"Tokyo Collectables, Ltd",10339
"Tokyo Collectables, Ltd",10372
"Tokyo Collectables, Ltd",10408
"Auto Canal+ Petit",10211
"Auto Canal+ Petit",10252
"Auto Canal+ Petit",10402
"Stuttgart Collectable Exchange",NULL
"Extreme Desk Decorations, Ltd",10234
"Extreme Desk Decorations, Ltd",10268
"Extreme Desk Decorations, Ltd",10418
"Bavarian Collectables Imports, Co.",10296
"Classic Legends Inc.",10115
"Classic Legends Inc.",10163
"Classic Legends Inc.",10337
"Feuer Online Stores, Inc",NULL
"Gift Ideas Corp.",10131
"Gift Ideas Corp.",10146
"Gift Ideas Corp.",10353
"Scandinavian Gift Ideas",10167
"Scandinavian Gift Ideas",10291
"Scandinavian Gift Ideas",10389
"The Sharp Gifts Warehouse",10250
"The Sharp Gifts Warehouse",10257
"The Sharp Gifts Warehouse",10400
"The Sharp Gifts Warehouse",10407
"Mini Auto Werke",10164
"Mini Auto Werke",10170
"Mini Auto Werke",10392
"Super Scale Inc.",10196
"Super Scale Inc.",10245
"Microscale Inc.",10242
"Microscale Inc.",10319
"Corrida Auto Replicas, Ltd",10126
"Corrida Auto Replicas, Ltd",10214
"Corrida Auto Replicas, Ltd",10348
"Warburg Exchange",NULL
FunGiftIdeas.com,10166
FunGiftIdeas.com,10321
FunGiftIdeas.com,10388
"Anton Designs, Ltd.",NULL
"Australian Collectables, Ltd",10193
"Australian Collectables, Ltd",10265
"Australian Collectables, Ltd",10415
"Frau da Collezione",10157
"Frau da Collezione",10218
"West Coast Collectables Co.",10199
"West Coast Collectables Co.",10215
"Mit Vergnügen & Co.",NULL
"Kremlin Collectables, Co.",NULL
"Raanan Stores, Inc",NULL
"Iberia Gift Imports, Corp.",10184
"Iberia Gift Imports, Corp.",10303
"Motor Mint Distributors Inc.",10109
"Motor Mint Distributors Inc.",10236
"Motor Mint Distributors Inc.",10331
"Signal Collectibles Ltd.",10149
"Signal Collectibles Ltd.",10219
"Double Decker Gift Stores, Ltd",10186
"Double Decker Gift Stores, Ltd",10213
"Diecast Collectables",10207
"Diecast Collectables",10243
"Kelly's Gift Shop",10138
"Kelly's Gift Shop",10179
"Kelly's Gift Shop",10360
"Kelly's Gift Shop",10399
