orderNumber,customerName,status
10220,"Clover Collections, Co.",Shipped
10297,"Clover Collections, Co.",Shipped
10130,"Auto-Moto Classics Inc.",Shipped
10290,"Auto-Moto Classics Inc.",Shipped
10352,"Auto-Moto Classics Inc.",Shipped
10253,"UK Collectables, Ltd.",Cancelled
10302,"UK Collectables, Ltd.",Shipped
10403,"UK Collectables, Ltd.",Shipped
10206,"Canadian Gift Exchange Network",Shipped
10313,"Canadian Gift Exchange Network",Shipped
10276,"Online Mini Collectables",Shipped
10294,"Online Mini Collectables",Shipped
10145,Toys4GrownUps.com,Shipped
10189,Toys4GrownUps.com,Shipped
10367,Toys4GrownUps.com,Resolved
10241,"Mini Caravy",Shipped
10255,"Mini Caravy",Shipped
10405,"Mini Caravy",Shipped
10187,"King Kong Collectables, Co.",Shipped
10200,"King Kong Collectables, Co.",Shipped
10118,"Enaco Distributors",Shipped
10197,"Enaco Distributors",Shipped
10340,"Enaco Distributors",Shipped
10154,"Boards & Toys Co.",Shipped
10376,"Boards & Toys Co.",Shipped
10161,"Heintze Collectables",Shipped
10314,"Heintze Collectables",Shipped
10171,"Québec Home Shopping Network",Shipped
10261,"Québec Home Shopping Network",Shipped
10411,"Québec Home Shopping Network",Shipped
10222,"Collectable Mini Designs Co.",Shipped
10226,"Collectable Mini Designs Co.",Shipped
10232,giftsbymail.co.uk,Shipped
10316,giftsbymail.co.uk,Shipped
10136,"Alpha Cognac",Shipped
10178,"Alpha Cognac",Shipped
10397,"Alpha Cognac",Shipped
10280,"Amica Models & Co.",Shipped
10293,"Amica Models & Co.",Shipped
10134,"Lyon Souveniers",Shipped
10356,"Lyon Souveniers",Shipped
10395,"Lyon Souveniers",Shipped
10216,"Auto Associés & Cie.",Shipped
10304,"Auto Associés & Cie.",Shipped
10191,"Toms Spezialitäten, Ltd",Shipped
10310,"Toms Spezialitäten, Ltd",Shipped
10235,"Royal Canadian Collectables, Ltd.",Shipped
10283,"Royal Canadian Collectables, Ltd.",Shipped
10148,"Anna's Decorations, Ltd",Shipped
10169,"Anna's Decorations, Ltd",Shipped
10370,"Anna's Decorations, Ltd",Shipped
10391,"Anna's Decorations, Ltd",Shipped
10106,"Rovelli Gifts",Shipped
10173,"Rovelli Gifts",Shipped
10328,"Rovelli Gifts",Shipped
10139,"Souveniers And Things Co.",Shipped
10270,"Souveniers And Things Co.",Shipped
10361,"Souveniers And Things Co.",Shipped
10420,"Souveniers And Things Co.","In Process"
10285,"Marta's Replicas Co.",Shipped
10305,"Marta's Replicas Co.",Shipped
10225,"Vida Sport, Ltd",Shipped
10287,"Vida Sport, Ltd",Shipped
10284,"Norway Gifts By Mail, Co.",Shipped
10301,"Norway Gifts By Mail, Co.",Shipped
10151,"Oulu Toy Supplies, Inc.",Shipped
10239,"Oulu Toy Supplies, Inc.",Shipped
10373,"Oulu Toy Supplies, Inc.",Shipped
10221,"Petit Auto",Shipped
10273,"Petit Auto",Shipped
10423,"Petit Auto","In Process"
10195,"Mini Classics",Shipped
10308,"Mini Classics",Shipped
10143,"Mini Creations Ltd.",Shipped
10185,"Mini Creations Ltd.",Shipped
10365,"Mini Creations Ltd.",Shipped
10159,"Corporate Gift Ideas Co.",Shipped
10162,"Corporate Gift Ideas Co.",Shipped
10381,"Corporate Gift Ideas Co.",Shipped
10384,"Corporate Gift Ideas Co.",Shipped
10132,"Down Under Souveniers, Inc",Shipped
10254,"Down Under Souveniers, Inc",Shipped
10354,"Down Under Souveniers, Inc",Shipped
10393,"Down Under Souveniers, Inc",Shipped
10404,"Down Under Souveniers, Inc",Shipped
10129,"Stylish Desk Decors, Co.",Shipped
10175,"Stylish Desk Decors, Co.",Shipped
10351,"Stylish Desk Decors, Co.",Shipped
10233,"Tekni Collectables Inc.",Shipped
10251,"Tekni Collectables Inc.",Shipped
10401,"Tekni Collectables Inc.","On Hold"
10152,"Australian Gift Network, Co",Shipped
10174,"Australian Gift Network, Co",Shipped
10374,"Australian Gift Network, Co",Shipped
10141,"Suominen Souveniers",Shipped
10247,"Suominen Souveniers",Shipped
10363,"Suominen Souveniers",Shipped
10183,"Classic Gift Ideas, Inc",Shipped
10307,"Classic Gift Ideas, Inc",Shipped
10177,"CAF Imports",Shipped
10231,"CAF Imports",Shipped
10160,"Men 'R' US Retailers, Ltd.",Shipped
10209,"Men 'R' US Retailers, Ltd.",Shipped
10122,"Marseille Mini Autos",Shipped
10344,"Marseille Mini Autos",Shipped
10364,"Marseille Mini Autos",Shipped
10121,"Reims Collectables",Shipped
10137,"Reims Collectables",Shipped
10343,"Reims Collectables",Shipped
10359,"Reims Collectables",Shipped
10398,"Reims Collectables",Shipped
10202,GiftsForHim.com,Shipped
10260,GiftsForHim.com,Cancelled
10410,GiftsForHim.com,Shipped
10264,Gifts4AllAges.com,Shipped
10295,Gifts4AllAges.com,Shipped
10414,Gifts4AllAges.com,"On Hold"
10100,"Online Diecast Creations Co.",Shipped
10192,"Online Diecast Creations Co.",Shipped
10322,"Online Diecast Creations Co.",Shipped
10147,"Collectables For Less Inc.",Shipped
10274,"Collectables For Less Inc.",Shipped
10369,"Collectables For Less Inc.",Shipped
10116,"Royale Belge",Shipped
10144,"Royale Belge",Shipped
10338,"Royale Belge",Shipped
10366,"Royale Belge",Shipped
10119,"Salzburg Collectables",Shipped
10269,"Salzburg Collectables",Shipped
10341,"Salzburg Collectables",Shipped
10419,"Salzburg Collectables",Shipped
10108,"Cruz & Sons Co.",Shipped
10198,"Cruz & Sons Co.",Shipped
10330,"Cruz & Sons Co.",Shipped
10176,"L'ordine Souveniers",Shipped
10266,"L'ordine Souveniers",Shipped
10416,"L'ordine Souveniers",Shipped
10258,"Tokyo Collectables, Ltd",Shipped
10339,"Tokyo Collectables, Ltd",Shipped
10372,"Tokyo Collectables, Ltd",Shipped
10408,"Tokyo Collectables, Ltd",Shipped
10211,"Auto Canal+ Petit",Shipped
10252,"Auto Canal+ Petit",Shipped
10402,"Auto Canal+ Petit",Shipped
10234,"Extreme Desk Decorations, Ltd",Shipped
10268,"Extreme Desk Decorations, Ltd",Shipped
10418,"Extreme Desk Decorations, Ltd",Shipped
10296,"Bavarian Collectables Imports, Co.",Shipped
10115,"Classic Legends Inc.",Shipped
10163,"Classic Legends Inc.",Shipped
10337,"Classic Legends Inc.",Shipped
10131,"Gift Ideas Corp.",Shipped
10146,"Gift Ideas Corp.",Shipped
10353,"Gift Ideas Corp.",Shipped
10167,"Scandinavian Gift Ideas",Cancelled
10291,"Scandinavian Gift Ideas",Shipped
10389,"Scandinavian Gift Ideas",Shipped
10250,"The Sharp Gifts Warehouse",Shipped
10257,"The Sharp Gifts Warehouse",Shipped
10400,"The Sharp Gifts Warehouse",Shipped
10407,"The Sharp Gifts Warehouse","On Hold"
10164,"Mini Auto Werke",Resolved
10170,"Mini Auto Werke",Shipped
10392,"Mini Auto Werke",Shipped
10196,"Super Scale Inc.",Shipped
10245,"Super Scale Inc.",Shipped
10242,"Microscale Inc.",Shipped
10319,"Microscale Inc.",Shipped
10126,"Corrida Auto Replicas, Ltd",Shipped
10214,"Corrida Auto Replicas, Ltd",Shipped
10348,"Corrida Auto Replicas, Ltd",Shipped
10166,FunGiftIdeas.com,Shipped
10321,FunGiftIdeas.com,Shipped
10388,FunGiftIdeas.com,Shipped
10193,"Australian Collectables, Ltd",Shipped
10265,"Australian Collectables, Ltd",Shipped
10415,"Australian Collectables, Ltd",Disputed
10157,"Frau da Collezione",Shipped
10218,"Frau da Collezione",Shipped
10199,"West Coast Collectables Co.",Shipped
10215,"West Coast Collectables Co.",Shipped
10184,"Iberia Gift Imports, Corp.",Shipped
10303,"Iberia Gift Imports, Corp.",Shipped
10109,"Motor Mint Distributors Inc.",Shipped
10236,"Motor Mint Distributors Inc.",Shipped
10331,"Motor Mint Distributors Inc.",Shipped
10149,"Signal Collectibles Ltd.",Shipped
10219,"Signal Collectibles Ltd.",Shipped
10186,"Double Decker Gift Stores, Ltd",Shipped
10213,"Double Decker Gift Stores, Ltd",Shipped
10207,"Diecast Collectables",Shipped
10243,"Diecast Collectables",Shipped
10138,"Kelly's Gift Shop",Shipped
10179,"Kelly's Gift Shop",Cancelled
10360,"Kelly's Gift Shop",Shipped
10399,"Kelly's Gift Shop",Shipped
